LClick,"(-2158, 1126)",0.000,10,none,-2168,-2148,1116,1136,,
LClick,"(-2252, 1076)",5.801,10,none,-2262,-2242,1066,1086,,
LClick,"(-2276, 1089)",2.401,10,none,-2286,-2266,1079,1099,,
LClick,"(-2058, 1437)",4.957,10,none,-2068,-2048,1427,1447,,
LClick,"(-1671, 1527)",5.805,10,none,-1681,-1661,1517,1537,,
LClick,"(-1562, 1136)",6.078,10,none,-1572,-1552,1126,1146,,
LClick,"(-1876, 958)",5.555,10,none,-1886,-1866,948,968,,
LClick,"(-2066, 404)",7.612,10,none,-2076,-2056,394,414,,
LClick,"(-2520, 1079)",8.324,10,none,-2530,-2510,1069,1089,,
LClick,"(-2254, 1204)",5.665,10,none,-2264,-2244,1194,1214,,
LClick,"(-2116, 1089)",0.000,10,none,-2126,-2106,1079,1099,,,LClick
LClick,"(-2462, 1163)",5.138,10,none,-2472,-2452,1153,1173,,,LClick
LClick,"(-1972, 1434)",5.364,10,none,-1982,-1962,1424,1444,,,LClick
LClick,"(-1594, 1434)",5.701,10,none,-1604,-1584,1424,1444,,,LClick
LClick,"(-1802, 224)",5.275,10,none,-1812,-1792,214,234,,,LClick
LClick,"(-1955, 117)",2.216,10,none,-1965,-1945,107,127,,,LClick
LClick,"(-2115, 1078)",0.000,10,none,-2125,-2105,1068,1088,,,LClick
LClick,"(-2483, 1167)",5.313,10,none,-2493,-2473,1157,1177,,,LClick
LClick,"(-1969, 1429)",5.080,10,none,-1979,-1959,1419,1439,,,LClick
LClick,"(-1818, 1185)",4.888,10,none,-1828,-1808,1175,1195,,,LClick
LClick,"(-1797, 1350)",2.116,10,none,-1807,-1787,1340,1360,,,LClick
LClick,"(-1567, 1039)",4.600,10,none,-1577,-1557,1029,1049,,,LClick
LClick,"(-2220, 409)",0.000,10,none,-2230,-2210,399,419,,,LClick
LClick,"(1579, 1221)",7.213,10,none,1569,1589,1211,1231,,,LClick
LClick,"(-2512, 1168)",0.000,10,none,-2522,-2502,1158,1178,,,LClick
